iter	Passed	Remaining
402	9688	38391
403	9710	38361
404	9733	38332
405	9757	38310
406	9779	38275
407	9799	38238
408	9820	38201
409	9842	38168
410	9864	38139
411	9890	38122
412	9914	38098
413	9939	38077
414	9965	38059
415	9992	38047
416	10017	38027
417	10040	37999
418	10060	37961
419	10082	37930
420	10104	37897
421	10126	37866
422	10147	37831
423	10169	37799
424	10173	37701
425	10194	37667
426	10215	37632
427	10235	37594
428	10256	37557
429	10262	37468
430	10282	37432
431	10307	37411
432	10329	37381
433	10334	37288
434	10355	37256
435	10376	37222
436	10398	37191
437	10419	37157
438	10440	37123
439	10462	37094
440	10483	37061
441	10505	37030
442	10527	36999
443	10549	36969
444	10560	36902
445	10581	36867
446	10610	36862
447	10634	36841
448	10659	36823
449	10684	36802
450	10713	36796
451	10741	36787
452	10764	36760
453	10786	36731
454	10808	36701
455	10830	36670
456	10852	36642
457	10876	36618
458	10900	36596
459	10923	36570
460	10948	36548
461	10972	36527
462	10995	36500
463	11023	36492
464	11048	36470
465	11073	36451
466	11097	36428
467	11117	36394
468	11123	36310
469	11145	36282
470	11165	36246
471	11186	36215
472	11207	36179
473	11227	36146
474	11251	36124
475	11272	36091
476	11294	36062
477	11314	36027
478	11335	35992
479	11357	35966
480	11379	35935
481	11400	35903
482	11422	35874
483	11442	35840
484	11464	35811
485	11485	35779
486	11489	35695
487	11509	35661
488	11530	35629
489	11552	35599
490	11573	35569
491	11594	35537
492	11614	35504
493	11635	35473
494	11657	35444
495	11677	35409
496	11701	35388
497	11724	35361
498	11763	35384
499	11800	35401
500	11833	35405
501	11867	35413
502	11893	35397
503	11919	35380
504	11942	35353
505	11962	35319
506	11984	35290
507	12005	35258
508	12026	35228
509	12050	35205
510	12075	35186
511	12100	35165
512	12124	35145
513	12158	35150
514	12181	35126
515	12207	35107
516	12228	35077
517	12248	35043
518	12272	35019
519	12296	34996
520	12317	34965
521	12338	34936
522	12362	34911
523	12383	34880
524	12404	34850
525	12427	34824
526	12448	34795
527	12469	34764
528	12495	34745
529	12520	34725
530	12546	34708
531	12561	34662
532	12587	34643
533	12618	34642
534	12643	34622
535	12668	34603
536	12697	34592
537	12723	34575
538	12748	34555
539	12775	34540
540	12801	34522
541	12827	34505
542	12855	34495
543	12882	34478
544	12911	34471
545	12942	34465
546	12971	34456
547	13002	34452
548	13029	34437
549	13053	34414
550	13078	34393
551	13106	34381
552	13131	34359
553	13158	34345
554	13187	34334
555	13213	34318
556	13243	34308
557	13270	34293
558	13295	34273
559	13317	34245
560	13339	34217
561	13360	34186
562	13382	34158
563	13406	34133
564	13429	34109
565	13454	34087
566	13468	34039
567	13489	34007
568	13517	33994
569	13540	33970
570	13567	33953
571	13588	33924
572	13611	33897
573	13623	33845
574	13648	33823
575	13685	33834
576	13728	33857
577	13767	33870
578	13806	33883
579	13834	33871
580	13866	33867
581	13903	33875
582	13943	33889
583	14104	34198
584	14196	34338
585	14245	34373
586	14291	34401
587	14324	34398
588	14352	34381
589	14387	34384
590	14427	34396
591	14456	34382
592	14493	34387
593	14528	34389
594	14555	34370
595	14580	34348
596	14612	34341
597	14639	34321
598	14667	34305
599	14694	34288
600	14723	34272
601	14752	34258
602	14779	34239
603	14804	34217
604	14832	34200
605	14861	34185
606	14889	34170
607	14920	34159
608	14948	34144
609	14976	34126
610	15004	34108
611	15029	34086
612	15052	34059
613	15079	34039
614	15103	34013
615	15130	33993
616	15158	33976
617	15190	33969
618	15240	34001
619	15343	34150
620	15430	34264
621	15464	34261
622	15503	34266
623	15570	34333
624	15596	34312
625	15629	34304
626	15655	34281
627	15696	34292
628	15726	34277
629	15791	34339
630	15847	34381
631	15890	34395
632	15926	34394
633	15958	34384
634	15984	34359
635	16009	34334
636	16040	34323
637	16070	34308
638	16096	34283
639	16118	34252
640	16145	34231
641	16177	34218
642	16213	34217
643	16258	34233
644	16297	34237
645	16335	34237
646	16371	34236
647	16417	34254
648	16453	34250
649	16489	34246
650	16523	34238
651	16554	34225
652	16587	34215
653	16620	34206
654	16657	34204
655	16689	34193
656	16723	34185
657	16753	34169
658	16788	34162
659	16830	34170
660	16865	34164
661	16897	34151
662	16929	34139
663	16962	34129
664	17004	34136
665	17037	34126
666	17080	34135
667	17113	34124
668	17146	34114
669	17187	34117
670	17234	34134
671	17272	34133
672	17296	34104
673	17323	34082
674	17358	34073
675	17392	34063
676	17425	34053
677	17466	34057
678	17510	34066
679	17547	34062
680	17586	34063
681	17611	34035
682	17637	34010
683	17666	33990
684	17692	33964
685	17722	33946
686	17748	33920
687	17774	33895
688	17805	33880
689	17831	33853
690	17856	33827
691	17884	33804
692	17909	33776
693	17935	33751
694	17960	33724
695	17987	33700
696	18011	33671
697	18037	33645
698	18062	33619
699	18092	33600
700	18118	33574
701	18146	33553
702	18170	33524
703	18199	33504
704	18224	33476
705	18250	33451
706	18275	33423
707	18301	33397
708	18326	33370
709	18354	33349
710	18383	33328
711	18414	33312
712	18443	33291
713	18478	33282
714	18508	33263
715	18536	33240
716	18562	33216
717	18588	33190
718	18612	33160
719	18657	33169
720	18708	33187
721	18763	33212
722	18811	33226
723	18862	33243
724	18924	33280
725	18977	33302
726	19032	33326
727	19083	33344
728	19139	33369
729	19195	33395
730	19252	33421
731	19309	33448
732	19370	33482
733	19444	33537
734	19510	33578
735	19572	33613
736	19636	33650
737	19692	33674
738	19749	33700
739	19800	33714
740	19859	33743
741	19939	33805
742	20010	33852
743	20092	33920
744	20188	34008
745	20315	34149
746	20498	34384
747	21010	35166
748	22120	36945
749	22543	37572
750	23216	38612
751	23575	39125
752	23988	39726
753	24733	40872
754	25152	41476
755	25780	42421
756	26154	42945
757	26667	43695
758	27585	45104
759	28298	46170
760	29191	47526
761	29777	48378
762	30283	49097
763	30928	50036
764	31349	50610
765	31777	51191
766	32261	51862
767	32586	52274
768	33250	53227
769	33863	54093
770	34233	54568
771	34683	55169
772	34951	55479
773	35283	55888
774	35649	56349
775	36089	56924
776	36550	57530
777	36684	57619
778	37017	58021
779	37462	58595
780	37832	59050
781	38409	59825
782	39061	60712
783	39457	61199
784	39892	61744
785	40153	62017
786	40438	62327
787	40645	62515
788	40876	62739
789	41155	63035
790	41365	63224
791	41641	63514
792	41827	63664
793	42145	64014
794	42339	64174
795	42660	64526
796	42857	64690
797	43100	64920
798	43583	65511
799	43766	65650
800	43972	65821
801	44280	66144
802	44720	66662
803	44913	66812
804	45190	67083
805	45413	67275
806	45799	67705
807	46259	68244
808	46454	68390
809	46632	68509
810	46825	68650
811	47079	68880
812	47296	69054
813	47524	69242
814	47929	69689
815	49367	71631
816	50972	73807
817	53814	77761
818	55562	80120
819	55612	80027
820	55691	79975
821	55754	79901
822	55799	79800
823	55833	79685
824	55872	79576
825	55916	79474
826	55952	79362
827	55993	79256
828	56050	79174
829	56108	79092
830	56155	78996
831	56192	78885
832	56228	78773
833	56265	78663
834	56298	78548
835	56341	78446
836	56373	78330
837	56409	78219
838	56443	78105
839	56478	77994
840	56508	77876
841	56540	77759
842	56575	77648
843	56614	77542
844	56659	77445
845	56693	77333
846	56741	77241
847	56777	77132
848	56806	77013
849	56834	76893
850	56862	76774
851	56890	76655
852	56919	76538
853	56949	76421
854	56979	76305
855	57014	76197
856	57052	76091
857	57083	75978
858	57115	75865
859	57151	75758
860	57262	75751
861	57335	75693
862	57373	75589
863	57406	75478
864	57439	75369
865	57476	75263
866	57513	75158
867	57549	75053
868	57615	74986
869	57668	74902
870	57719	74816
871	57760	74717
872	57864	74700
873	57930	74634
874	58002	74574
875	58033	74463
876	58076	74366
877	58099	74245
878	58125	74127
879	58147	74005
880	58173	73889
881	58200	73773
882	58225	73656
883	58252	73540
884	58272	73416
885	58303	73307
886	58332	73194
887	58357	73078
888	58382	72961
889	58407	72845
890	58427	72723
891	58452	72607
892	58473	72485
893	58491	72361
894	58510	72238
895	58529	72116
896	58555	72002
897	58578	71885
898	58604	71772
899	58625	71653
900	58647	71535
901	58667	71416
902	58692	71301
903	58709	71179
904	58730	71060
905	58747	70937
906	58762	70813
907	58778	70689
908	58793	70565
909	58808	70440
910	58824	70317
911	58840	70195
912	58856	70073
913	58873	69952
914	58889	69830
915	58906	69710
916	58928	69595
917	58949	69480
918	58968	69362
919	58984	69242
920	59001	69123
921	59020	69006
922	59038	68889
923	59054	68768
924	59071	68650
925	59086	68530
926	59101	68410
927	59116	68290
928	59133	68172
929	59150	68055
930	59168	67938
931	59184	67820
932	59200	67702
933	59215	67583
934	59230	67465
935	59246	67348
936	59261	67230
937	59276	67112
938	59292	66996
939	59308	66879
940	59324	66763
941	59342	66650
942	59358	66534
943	59373	66417
944	59390	66304
945	59406	66188
946	59422	66073
947	59437	65958
948	59452	65842
949	59466	65726
950	59482	65612
951	59499	65498
952	59515	65385
953	59531	65271
954	59547	65159
955	59563	65046
956	59577	64931
957	59594	64819
958	59610	64707
959	59627	64596
960	59644	64486
961	59660	64373
962	59679	64265
963	59696	64154
964	59712	64044
965	59729	63933
966	59744	63822
967	59760	63711
968	59777	63602
969	59793	63492
970	59810	63383
971	59826	63273
972	59841	63162
